,AUC mean,AUC std,F1 mean,F1 std,Prec mean,Prec std,Recall mean,Recall std,MCC mean,MCC std,Acc mean,Acc std,Brier,CM
STATIC,0.8563704117063491,0.03830020027895574,0.6415309468858803,0.1059419326097276,0.7845631345631345,0.18446983583772344,0.6266666666666667,0.2071177872076123,0.5688635433704713,0.06840754713814294,0.8181818181818181,0.03593497341100433,0.14678159643008457,"[[283  34]
 [ 46  77]]"
STATIC+BINARY,0.8831976686507937,0.04863402830787695,0.7617021276595745,0.07812371421405584,0.8723546019198194,0.03098106503377458,0.6910000000000001,0.1329979114288809,0.7022263809908995,0.0738054452397899,0.884090909090909,0.026308720233614125,0.1132460009312012,"[[304  13]
 [ 38  85]]"
STATIC+DOME,0.8955509672619048,0.041996657123576024,0.7813870717453357,0.07496120612863647,0.771998361998362,0.12331502845690961,0.8056666666666666,0.06719457650071997,0.6976517846222743,0.10626844122701963,0.8704545454545454,0.05454545454545453,0.11421042320531904,"[[284  33]
 [ 24  99]]"
STATIC+LSTM,0.849692088293651,0.033900211914055546,0.70413170863443,0.05581975558446986,0.7565656565656566,0.056094720714807374,0.6663333333333333,0.09366844600919656,0.6061515235975751,0.06960207595938885,0.8454545454545455,0.025511300364367762,0.13738900920422198,"[[290  27]
 [ 41  82]]"
STATIC+tLSTM,0.8414004216269841,0.053508659245432265,0.6972747280730474,0.12622631271901685,0.7671111111111111,0.07276836241046812,0.6839999999999999,0.20019601505635531,0.6175805000270922,0.11221632798374886,0.8477272727272727,0.03843530573929036,0.14114905440237016,"[[289  28]
 [ 39  84]]"
STATIC+GRU,0.8186917162698414,0.06313586206716063,0.6956864884524459,0.05637377869279773,0.7302549302549304,0.07508995241412975,0.6663333333333334,0.04982636517614611,0.5861728709673616,0.07980351340899032,0.8363636363636363,0.03340213285613426,0.13794083273478341,"[[286  31]
 [ 41  82]]"
STATIC+GRU-D,0.8674184027777777,0.029179245575856667,0.794176639903045,0.07041831252622363,0.9101400560224089,0.08873256346178637,0.7073333333333334,0.07303423854604084,0.7391887189149429,0.09475620942532734,0.8977272727272727,0.035934973411004316,0.10511666998833948,"[[308   9]
 [ 36  87]]"
STATIC+BEHRT,0.8371374007936507,0.05033210137190175,0.6985724417426544,0.058987108291714364,0.7849354056003672,0.13624368850841026,0.6433333333333333,0.06442911695119768,0.6060604562619019,0.09525539462110055,0.8431818181818181,0.03962635403218796,0.13144645103980465,"[[292  25]
 [ 44  79]]"
STATIC+RETAIN,0.7903656994047619,0.038102880154219074,0.5878534817956875,0.09971156516349242,0.9178571428571429,0.11271238455756785,0.45466666666666666,0.1260969644537268,0.556733590260313,0.06702088960049264,0.8295454545454547,0.024896479886598467,0.15546529356130756,"[[309   8]
 [ 67  56]]"
STATIC+Dipole,0.8368229166666667,0.072360219452171,0.7345193690671649,0.09208475695026436,0.8883095238095237,0.06923793148601844,0.6433333333333333,0.13796537407786216,0.6795044598731679,0.09160122386489185,0.875,0.034467615654779744,0.1276497717380067,"[[306  11]
 [ 44  79]]"
